root_id,label,name,nt_type,flow,super_class,class,sub_class,cell_type,hemilineage,nerve,connectivity_tag,side,input_synapses,output_synapses
720575940639332736,['GRN'; 'Sugar Gustatory Receptor Neuron (GRN); See Engert et al. 2022 and Shiu; Sterne et al.; 2022; https://doi.org/10.7554/eLife.78110 and https://doi.org/10.7554/eLife.79887'],GNG.2079,,afferent,sensory,gustatory,sugar/water,['LB3'],,MxLbN,['feedforward_loop_participant'; 'reciprocal'],left,116,119
720575940640589171,['DNg'],GNG.52,GABA,efferent,descending,,,['DNge031'],putative_primary,CV,[],left,4373,2673
720575940640649691,['Sugar Gustatory Receptor Neuron (GRN); See Engert et al. 2022 and Shiu; Sterne et al.; 2022; https://doi.org/10.7554/eLife.78110 and https://doi.org/10.7554/eLife.79887'],GNG.2078,ACH,afferent,sensory,gustatory,sugar/water,['LB3'],,MxLbN,['feedforward_loop_participant'; 'reciprocal'],left,105,104
720575940641366517,['Usnea; Shiu; Sterne et al.; 2022; https://doi.org/10.7554/eLife.79887'; 'unclassified_IN_FW_41'; 'interneuron sim to gustatory receptor neuron/GRN'],GNG.284,GABA,intrinsic,central,,,['CB0008'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'repeller'],right,565,1488
720575940642335373,[],GNG.681,GABA,intrinsic,central,,,['CB0444'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'repeller'],left,1196,993
720575940642361485,[],GNG.2132,,afferent,sensory,gustatory,sugar/water,['LB3'],,MxLbN,['feedforward_loop_participant'; 'reciprocal'; 'repeller'],left,10,181
720575940642428045,[],GNG.340,ACH,intrinsic,central,,,['CB1093'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'attractor'],left,1363,1055
720575940647033396,['Sensory'],GNG.485,GABA,afferent,ascending,AN,,[],,CV,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'repeller'],left,1836,690
720575940655011489,['FLAa2'],GNG.SMP.3,ACH,intrinsic,central,,,['CB0233'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'attractor'],left,2219,1365
720575940655013025,[],GNG.772,ACH,intrinsic,central,,,['CB3797'],MX12__prim,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'attractor'],left,869,863
720575940655014049,['ascending_FW_251'; 'Clavicle; Second-order taste neuron'],GNG.405,ACH,afferent,ascending,AN,,[],,CV,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,1362,765
